[LOG] [2023-12-16 09:59:06.153438]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Хай
[LOG] [2023-12-16 09:59:27.558619]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Ага
[LOG] [2023-12-16 10:01:13.479717]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Как дела?
[LOG] [2023-12-16 10:01:53.694722]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Как дела?
[LOG] [2023-12-16 10:03:52.765010]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: как живешь
[LOG] [2023-12-16 10:04:22.829007]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Приятно познакомиться
[LOG] [2023-12-16 10:05:14.079742]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: как дела
[LOG] [2023-12-16 10:05:51.401122]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: как ты
[LOG] [2023-12-16 10:10:33.850394]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Добрый вечер
[LOG] [2023-12-16 10:10:45.043882]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Доброе утро
[LOG] [2023-12-16 10:10:54.265637]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Добрый день
[LOG] [2023-12-16 10:12:06.799861]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Как дела?
[LOG] [2023-12-16 10:12:15.708810]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Как живешь
[LOG] [2023-12-16 10:13:23.877839]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Как живешь
[LOG] [2023-12-16 10:24:09.231137]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-16 10:24:13.589306]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-16 10:25:23.370080]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-16 10:25:56.733981]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-16 12:03:34.791214]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-16 12:03:39.230904]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-16 12:15:40.490639]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Хай
[LOG] [2023-12-16 12:15:44.969545]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-16 12:16:21.234539]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-16 12:16:25.644569]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-16 23:47:19.469782]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-16 23:47:23.789953]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-17 00:03:11.124259]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-17 10:45:29.208137]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет!
[LOG] [2023-12-17 10:45:33.659030]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-17 10:49:00.764676]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Хей!)
[LOG] [2023-12-17 10:49:06.152869]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-17 10:50:51.883577]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-17 10:50:57.618766]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Хай
[LOG] [2023-12-17 10:51:02.047212]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['question']
[LOG] [2023-12-17 10:51:52.373965]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Какие премьеры нам ожидать в ближайшее время?
